# OSU MPI Bandwidth Test v5.7.1
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.76
8                       1.52
16                      3.04
32                      5.99
64                     11.77
128                    23.18
256                    41.28
512                    82.05
1024                  161.70
2048                  336.79
4096                  621.72
8192                 1107.40
16384                1766.14
32768                2551.03
65536                2718.58
131072               2950.01
262144               3470.97
524288               3612.59
1048576              3427.74
2097152              3401.37
4194304              3455.26
