# OSU MPI Allreduce Latency Test v5.7.1
# Size       Avg Latency(us)
4                      19.88
8                      17.35
16                     15.57
32                     17.56
64                     16.75
128                    16.91
256                    18.01
512                    14.30
1024                   13.26
2048                   13.90
4096                   29.85
8192                   29.74
16384                  39.21
32768                  38.74
65536                  49.66
131072                 74.31
262144                184.52
524288                313.72
1048576               566.82
