# OSU MPI Latency Test v5.7.1
# Size          Latency (us)
0                      17.23
1                      18.51
2                      18.57
4                      18.66
8                      18.54
16                     18.56
32                     18.63
64                     18.53
128                    18.64
256                    19.04
512                    18.64
1024                   18.58
2048                   18.77
4096                   18.95
8192                   19.62
16384                  21.50
32768                  25.46
65536                  33.27
131072                 77.13
262144                100.10
524288                158.61
1048576               282.13
2097152               563.25
