------------------------------
test was performed using the following parameters: --mps=5000 --burst=1 --reply-every=100 --msg-size=1024 --time=300 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=299.999 sec; Warm up time=400 msec; SentMessages=1499995; ReceivedMessages=14999
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=299.480 sec; SentMessages=1497401; ReceivedMessages=14975
sockperf: [2;35m====> avg-rtt=101.926 (std-dev=25.485)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 14975 observations[0m; each percentile contains 149.75 observations
sockperf: ---> <MAX> observation =  531.956
sockperf: ---> percentile 99.999 =  531.956
sockperf: ---> percentile 99.990 =  299.999
sockperf: ---> percentile 99.900 =  192.845
sockperf: ---> percentile 99.000 =  180.199
sockperf: ---> percentile 90.000 =  123.090
sockperf: ---> percentile 75.000 =  111.837
sockperf: ---> percentile 50.000 =  104.528
sockperf: ---> percentile 25.000 =   94.464
sockperf: ---> <MIN> observation =   48.650
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
194, 6.321193362, 6.321299551, 106.189
195, 6.341193365, 6.341302702, 109.337
196, 6.361193369, 6.361260681, 67.312
197, 6.381193364, 6.381259257, 65.893
198, 6.401193365, 6.401267438, 74.073
199, 6.421193362, 6.421257299, 63.937
200, 6.441193364, 6.441303718, 110.354
201, 6.461193368, 6.461262549, 69.181
202, 6.481193361, 6.481307949, 114.588
203, 6.501193366, 6.501316041, 122.675
204, 6.521193365, 6.521303032, 109.667
205, 6.541193367, 6.541301780, 108.413
206, 6.561193363, 6.561303952, 110.589
207, 6.581193365, 6.581304113, 110.748
208, 6.601193369, 6.601316150, 122.781
209, 6.621193370, 6.621259272, 65.902
210, 6.641193363, 6.641314057, 120.694
211, 6.661193364, 6.661328958, 135.594
212, 6.681193360, 6.681371065, 177.705
213, 6.701193367, 6.701388876, 195.509
214, 6.721193362, 6.721380261, 186.899
215, 6.741193364, 6.741327898, 134.534
216, 6.761193362, 6.761371273, 177.911
217, 6.781193366, 6.781372693, 179.327
218, 6.801193361, 6.801364141, 170.780
219, 6.821193365, 6.821378443, 185.078
220, 6.841193366, 6.841374427, 181.061
221, 6.861193366, 6.861340352, 146.986
222, 6.881193360, 6.881360384, 167.024
223, 6.901193366, 6.901365497, 172.131
224, 6.921193364, 6.921363829, 170.465
225, 6.941193367, 6.941295580, 102.213
226, 6.961193366, 6.961293905, 100.539
227, 6.981193366, 6.981299668, 106.302
228, 7.001193370, 7.001292787, 99.417
229, 7.021193363, 7.021331443, 138.080
230, 7.041193368, 7.041281559, 88.191
231, 7.061193358, 7.061265430, 72.072
232, 7.081193366, 7.081257107, 63.741
233, 7.101193366, 7.101303234, 109.868
234, 7.121193359, 7.121301290, 107.931
235, 7.141193362, 7.141272234, 78.872
236, 7.161193363, 7.161308512, 115.149
237, 7.181193375, 7.181279118, 85.743
238, 7.201193363, 7.201273385, 80.022
239, 7.221193359, 7.221302853, 109.494
240, 7.241193365, 7.241275019, 81.654
241, 7.261193370, 7.261306983, 113.613
242, 7.281193368, 7.281307332, 113.964
243, 7.301193364, 7.301309302, 115.938
244, 7.321193367, 7.321308763, 115.396
245, 7.341193365, 7.341304528, 111.163
246, 7.361193366, 7.361300502, 107.136
247, 7.381193365, 7.381257560, 64.195
248, 7.401193365, 7.401263487, 70.122
249, 7.421193364, 7.421258284, 64.920
250, 7.441193364, 7.441256317, 62.953
251, 7.461193367, 7.461300456, 107.089
252, 7.481193368, 7.481260643, 67.275
253, 7.501193360, 7.501260628, 67.268
254, 7.521193365, 7.521259381, 66.016
255, 7.541193367, 7.541300274, 106.907
256, 7.561193362, 7.561308955, 115.593
257, 7.581193365, 7.581258547, 65.182
258, 7.601193368, 7.601307156, 113.788
259, 7.621193361, 7.621257669, 64.308
260, 7.641193362, 7.641304878, 111.516
261, 7.661193363, 7.661303760, 110.397
262, 7.681193368, 7.681300456, 107.088
263, 7.701193361, 7.701300832, 107.471
264, 7.721193368, 7.721277538, 84.170
265, 7.741193365, 7.741293111, 99.746
266, 7.761193382, 7.761268357, 74.975
267, 7.781193384, 7.781302647, 109.263
268, 7.801193379, 7.801260053, 66.674
269, 7.821193382, 7.821305311, 111.929
270, 7.841193385, 7.841311991, 118.606
271, 7.861193378, 7.861307042, 113.664
272, 7.881193379, 7.881261726, 68.347
273, 7.901193372, 7.901300471, 107.099
274, 7.921193362, 7.921260140, 66.778
275, 7.941193362, 7.941298860, 105.498
276, 7.961193371, 7.961294631, 101.260
277, 7.981193368, 7.981297898, 104.530
278, 8.001193365, 8.001292173, 98.808
279, 8.021193365, 8.021293888, 100.523
280, 8.041193365, 8.041314909, 121.544
281, 8.061193366, 8.061309707, 116.341
282, 8.081193358, 8.081301100, 107.742
283, 8.101193363, 8.101307037, 113.674
284, 8.121193365, 8.121307689, 114.324
285, 8.141193365, 8.141310591, 117.226
286, 8.161193361, 8.161301532, 108.171
287, 8.181193367, 8.181317240, 123.873
288, 8.201193361, 8.201299342, 105.981
289, 8.221193362, 8.221298919, 105.557
290, 8.241193366, 8.241307874, 114.508
291, 8.261193368, 8.261300637, 107.269
292, 8.281193361, 8.281297250, 103.889
293, 8.301193367, 8.301304213, 110.846
294, 8.321193368, 8.321300192, 106.824
295, 8.341193362, 8.341301371, 108.009
296, 8.361193360, 8.361304729, 111.369
297, 8.381193364, 8.381309790, 116.426
298, 8.401193363, 8.401263833, 70.470
299, 8.421193362, 8.421262064, 68.702
300, 8.441193365, 8.441261965, 68.600
301, 8.461193369, 8.461301975, 108.606
302, 8.481193365, 8.481306564, 113.199
303, 8.501193367, 8.501268373, 75.006
304, 8.521193365, 8.521289697, 96.332
305, 8.541193366, 8.541251975, 58.609
306, 8.561193389, 8.561296253, 102.864
307, 8.581193364, 8.581269697, 76.333
308, 8.601193368, 8.601303464, 110.096
309, 8.621193364, 8.621314582, 121.218
310, 8.641193368, 8.641310229, 116.861
311, 8.661193366, 8.661312583, 119.217
312, 8.681193369, 8.681272702, 79.333
313, 8.701193368, 8.701313103, 119.735
314, 8.721193369, 8.721299642, 106.273
315, 8.741193365, 8.741301196, 107.831
316, 8.761193363, 8.761302268, 108.905
317, 8.781193364, 8.781310544, 117.180
318, 8.801193363, 8.801310242, 116.879
319, 8.821193361, 8.821322732, 129.371
320, 8.841193365, 8.841306935, 113.570
321, 8.861193364, 8.861304061, 110.697
322, 8.881193362, 8.881259054, 65.692
323, 8.901193377, 8.901311108, 117.731
324, 8.921193371, 8.921315695, 122.324
325, 8.941193369, 8.941313631, 120.262
326, 8.961193369, 8.961311946, 118.577
327, 8.981193366, 8.981303038, 109.672
328, 9.001193359, 9.001305933, 112.574
329, 9.021193366, 9.021318538, 125.172
330, 9.041193362, 9.041314249, 120.887
331, 9.061193359, 9.061309918, 116.559
332, 9.081193360, 9.081262413, 69.053
333, 9.101193370, 9.101305975, 112.605
334, 9.121193360, 9.121300336, 106.976
335, 9.141193363, 9.141309042, 115.679
336, 9.161193365, 9.161266119, 72.754
337, 9.181193363, 9.181303676, 110.313
338, 9.201193358, 9.201305651, 112.293
339, 9.221193367, 9.221260189, 66.822
340, 9.241193364, 9.241309452, 116.088
341, 9.261201369, 9.261317049, 115.680
342, 9.281193362, 9.281270599, 77.237
343, 9.301193363, 9.301302788, 109.425
344, 9.321193362, 9.321307006, 113.644
345, 9.341193359, 9.341296489, 103.130
346, 9.361193362, 9.361286895, 93.533
347, 9.381193364, 9.381304761, 111.397
348, 9.401193365, 9.401305988, 112.623
349, 9.421193366, 9.421310614, 117.248
350, 9.441193365, 9.441304861, 111.496
351, 9.461193382, 9.461313133, 119.751
352, 9.481193359, 9.481311373, 118.014
353, 9.501193366, 9.501268063, 74.697
354, 9.521193367, 9.521305905, 112.538
355, 9.541193369, 9.541305703, 112.334
356, 9.561193366, 9.561304220, 110.854
357, 9.581193369, 9.581258889, 65.520
358, 9.601193369, 9.601264155, 70.786
359, 9.621193366, 9.621269836, 76.470
360, 9.641193366, 9.641308312, 114.946
361, 9.661193375, 9.661264018, 70.643
362, 9.681193362, 9.681307494, 114.132
363, 9.701193366, 9.701306062, 112.696
364, 9.721193367, 9.721304940, 111.573
365, 9.741193362, 9.741311124, 117.762
366, 9.761193365, 9.761303233, 109.868
367, 9.781193373, 9.781305898, 112.525
368, 9.801193360, 9.801306154, 112.794
369, 9.821193366, 9.821304065, 110.699
370, 9.841193366, 9.841312959, 119.593
371, 9.861193363, 9.861308555, 115.192
372, 9.881193369, 9.881307529, 114.160
373, 9.901193364, 9.901313254, 119.890
374, 9.921193368, 9.921306943, 113.575
375, 9.941193362, 9.941305491, 112.129
376, 9.961193365, 9.961302685, 109.320
377, 9.981193365, 9.981300937, 107.572
378, 10.001193368, 10.001274759, 81.391
379, 10.021193378, 10.021313123, 119.745
380, 10.041193380, 10.041266869, 73.489
381, 10.061193374, 10.061322575, 129.201
382, 10.081193365, 10.081320684, 127.319
383, 10.101193365, 10.101319267, 125.902
384, 10.121193365, 10.121320217, 126.852
385, 10.141193362, 10.141263587, 70.225
386, 10.161193360, 10.161302213, 108.853
387, 10.181193361, 10.181303040, 109.679
388, 10.201193362, 10.201298536, 105.174
389, 10.221193366, 10.221299524, 106.158
390, 10.241193362, 10.241302069, 108.707
391, 10.261193363, 10.261300411, 107.048
392, 10.281193364, 10.281301430, 108.066
393, 10.301193363, 10.301301519, 108.156
394, 10.321193365, 10.321273956, 80.591
395, 10.341193365, 10.341312003, 118.638
396, 10.361193366, 10.361264085, 70.719
397, 10.381193362, 10.381312658, 119.296
398, 10.401193366, 10.401307679, 114.313
399, 10.421193366, 10.421306768, 113.402
400, 10.441193363, 10.441303903, 110.540
401, 10.461193363, 10.461302132, 108.769
402, 10.481193363, 10.481264648, 71.285
403, 10.501193364, 10.501306409, 113.045
404, 10.521193362, 10.521304812, 111.450
405, 10.541193364, 10.541308570, 115.206
406, 10.561193361, 10.561310036, 116.675
407, 10.581193365, 10.581310222, 116.857
408, 10.601193368, 10.601292201, 98.833
409, 10.621193366, 10.621262730, 69.364
410, 10.641193361, 10.641306527, 113.166
411, 10.661193359, 10.661308760, 115.401
412, 10.681193362, 10.681310405, 117.043
413, 10.701193374, 10.701309339, 115.965
414, 10.721193365, 10.721256920, 63.555
415, 10.741193362, 10.741301181, 107.819
416, 10.761193379, 10.761300507, 107.128
417, 10.781193368, 10.781298956, 105.588
418, 10.801193366, 10.801323449, 130.083
419, 10.821193362, 10.821302063, 108.701
420, 10.841193367, 10.841328371, 135.004
421, 10.861193360, 10.861263371, 70.011
422, 10.881193362, 10.881304115, 110.753
423, 10.901193360, 10.901312766, 119.406
424, 10.921193364, 10.921266896, 73.532
425, 10.941193363, 10.941302414, 109.051
426, 10.961193364, 10.961315179, 121.815
427, 10.981193363, 10.981305060, 111.697
428, 11.001193368, 11.001299499, 106.131
429, 11.021193360, 11.021294360, 101.000
430, 11.041193360, 11.041302263, 108.903
431, 11.061193365, 11.061296532, 103.167
432, 11.081193365, 11.081316361, 122.996
433, 11.101193363, 11.101349033, 155.670
434, 11.121193363, 11.121301789, 108.426
435, 11.141193366, 11.141300922, 107.556
436, 11.161193367, 11.161321809, 128.442
437, 11.181193365, 11.181308348, 114.983
438, 11.201193366, 11.201306673, 113.307
439, 11.221193363, 11.221304599, 111.236
440, 11.241193363, 11.241302860, 109.497
441, 11.261193364, 11.261319998, 126.634
442, 11.281193367, 11.281296897, 103.530
443, 11.301193368, 11.301259877, 66.509
444, 11.321193365, 11.321300400, 107.035
445, 11.341193364, 11.341296640, 103.276
446, 11.361193367, 11.361373381, 180.014
447, 11.381193365, 11.381377806, 184.441
448, 11.401193365, 11.401329679, 136.314
449, 11.421193367, 11.421355149, 161.782
450, 11.441193380, 11.441371300, 177.920
451, 11.461193365, 11.461333046, 139.681
452, 11.481193368, 11.481334142, 140.774
453, 11.501193363, 11.501378902, 185.539
454, 11.521193368, 11.521371578, 178.210
455, 11.541193367, 11.541330894, 137.527
456, 11.561193368, 11.561372619, 179.251
457, 11.581193368, 11.581371107, 177.739
458, 11.601193368, 11.601336629, 143.261
459, 11.621193365, 11.621309770, 116.405
460, 11.641193366, 11.641307023, 113.657
461, 11.661193359, 11.661315422, 122.063
462, 11.681193365, 11.681306561, 113.196
463, 11.701193369, 11.701302953, 109.584
464, 11.721193370, 11.721310334, 116.964
465, 11.741193365, 11.741305788, 112.423
466, 11.761193365, 11.761305356, 111.991
467, 11.781193365, 11.781306465, 113.100
468, 11.801193369, 11.801308524, 115.155
469, 11.821193370, 11.821262276, 68.906
470, 11.841193367, 11.841306243, 112.876
471, 11.861193362, 11.861312614, 119.252
472, 11.881193369, 11.881310649, 117.280
473, 11.901193365, 11.901307739, 114.374
474, 11.921193368, 11.921264934, 71.566
475, 11.941193362, 11.941261942, 68.580
476, 11.961193367, 11.961265215, 71.848
477, 11.981193368, 11.981266576, 73.208
478, 12.001193366, 12.001265551, 72.185
479, 12.021193369, 12.021268836, 75.467
480, 12.041193367, 12.041272389, 79.022
481, 12.061193362, 12.061264634, 71.272
482, 12.081193368, 12.081266934, 73.566
483, 12.101193369, 12.101282810, 89.441
484, 12.121193362, 12.121301913, 108.551
485, 12.141193364, 12.141253408, 60.044
486, 12.161193370, 12.161282533, 89.163
487, 12.181193364, 12.181299626, 106.262
488, 12.201193362, 12.201264720, 71.358
489, 12.221193366, 12.221301688, 108.322
490, 12.241193368, 12.241303050, 109.682
491, 12.261193365, 12.261327259, 133.894
492, 12.281193364, 12.281307576, 114.212
493, 12.301193362, 12.301308572, 115.210
494, 12.321193368, 12.321311817, 118.449
495, 12.341193366, 12.341302154, 108.788
496, 12.361199131, 12.361308984, 109.853
497, 12.381193368, 12.381282176, 88.808
498, 12.401193363, 12.401301028, 107.665
499, 12.421193365, 12.421299342, 105.977
500, 12.441193372, 12.441303275, 109.903
501, 12.461193363, 12.461279144, 85.781
502, 12.481193369, 12.481302726, 109.357
503, 12.501193364, 12.501284785, 91.421
504, 12.521193365, 12.521282159, 88.794
505, 12.541193367, 12.541306222, 112.855
506, 12.561193366, 12.561299780, 106.414
507, 12.581193365, 12.581288602, 95.237
508, 12.601193367, 12.601297155, 103.788
509, 12.621193365, 12.621272094, 78.729
510, 12.641193369, 12.641269119, 75.750
511, 12.661193365, 12.661280634, 87.269
512, 12.681193368, 12.681263582, 70.214
513, 12.701193365, 12.701300384, 107.019
514, 12.721193362, 12.721263666, 70.304
515, 12.741193368, 12.741304926, 111.558
516, 12.761193362, 12.761269111, 75.749
517, 12.781193364, 12.781261715, 68.351
518, 12.801193373, 12.801310559, 117.186
519, 12.821193360, 12.821303866, 110.506
520, 12.841193363, 12.841264044, 70.681
521, 12.861193360, 12.861306546, 113.186
522, 12.881193365, 12.881262092, 68.727
523, 12.901193375, 12.901306890, 113.515
524, 12.921193369, 12.921301334, 107.965
525, 12.941193362, 12.941324538, 131.176
526, 12.961193367, 12.961266465, 73.098
527, 12.981193363, 12.981308511, 115.148
528, 13.001193366, 13.001313527, 120.161
529, 13.021193369, 13.021311488, 118.119
530, 13.041193362, 13.041295644, 102.282
531, 13.061193365, 13.061302705, 109.340
532, 13.081193362, 13.081297785, 104.423
533, 13.101193364, 13.101299800, 106.436
534, 13.121193371, 13.121301551, 108.180
535, 13.141193365, 13.141304784, 111.419
536, 13.161193362, 13.161300635, 107.273
537, 13.181193363, 13.181323637, 130.274
538, 13.201193367, 13.201259800, 66.433
539, 13.221193365, 13.221322516, 129.151
540, 13.241193388, 13.241322358, 128.970
541, 13.261193361, 13.261307624, 114.263
542, 13.281193358, 13.281308726, 115.368
543, 13.301193363, 13.301272764, 79.401
544, 13.321193363, 13.321312244, 118.881
545, 13.341193365, 13.341265476, 72.111
546, 13.361193365, 13.361301975, 108.610
547, 13.381193367, 13.381312441, 119.074
548, 13.401193364, 13.401304072, 110.708
549, 13.421193364, 13.421302690, 109.326
550, 13.441193362, 13.441313456, 120.094
551, 13.461193364, 13.461263384, 70.020
552, 13.481193362, 13.481262242, 68.880
553, 13.501193360, 13.501302250, 108.890
554, 13.521193367, 13.521259177, 65.810
555, 13.541193384, 13.541278459, 85.075
556, 13.561193364, 13.561294479, 101.115
557, 13.581193365, 13.581311148, 117.783
558, 13.601193368, 13.601261021, 67.653
559, 13.621193365, 13.621303044, 109.679
560, 13.641193364, 13.641265020, 71.656
561, 13.661193370, 13.661314336, 120.966
562, 13.681193365, 13.681302794, 109.429
563, 13.701193365, 13.701316936, 123.571
564, 13.721193365, 13.721302255, 108.890
565, 13.741193361, 13.741298573, 105.212
566, 13.761193366, 13.761308214, 114.848
567, 13.781193365, 13.781321332, 127.967
568, 13.801193360, 13.801305400, 112.040
569, 13.821193370, 13.821310730, 117.360
570, 13.841193365, 13.841332032, 138.667
571, 13.861193359, 13.861321875, 128.516
572, 13.881193363, 13.881330446, 137.083
573, 13.901193364, 13.901374499, 181.135
574, 13.921193365, 13.921333631, 140.266
575, 13.941193362, 13.941331797, 138.435
576, 13.961193390, 13.961331576, 138.186
577, 13.981193393, 13.981336523, 143.130
578, 14.001193385, 14.001336353, 142.968
579, 14.021193395, 14.021334821, 141.426
580, 14.041193389, 14.041336564, 143.175
581, 14.061193380, 14.061336804, 143.424
582, 14.081193385, 14.081338336, 144.951
583, 14.101193386, 14.101330253, 136.867
584, 14.121193386, 14.121381454, 188.068
585, 14.141193385, 14.141369841, 176.456
586, 14.161193387, 14.161304975, 111.588
587, 14.181193387, 14.181371477, 178.090
588, 14.201193388, 14.201305363, 111.975
589, 14.221193387, 14.221306586, 113.199
590, 14.241193392, 14.241304824, 111.432
591, 14.261193388, 14.261306477, 113.089
592, 14.281193385, 14.281304665, 111.280
593, 14.301193389, 14.301333901, 140.512
594, 14.321193385, 14.321324112, 130.727
595, 14.341193386, 14.341306708, 113.322
596, 14.361193385, 14.361314477, 121.092
597, 14.381193392, 14.381310799, 117.407
598, 14.401193385, 14.401276734, 83.349
599, 14.421193392, 14.421306378, 112.986
600, 14.441193388, 14.441313594, 120.206
601, 14.461193387, 14.461306513, 113.126
602, 14.481193381, 14.481306712, 113.331
603, 14.501193384, 14.501316193, 122.809
604, 14.521193386, 14.521304570, 111.184
605, 14.541193385, 14.541304953, 111.568
606, 14.561193390, 14.561274509, 81.119
607, 14.581193380, 14.581308889, 115.509
608, 14.601193393, 14.601302752, 109.359
609, 14.621193385, 14.621281892, 88.507
610, 14.641193383, 14.641295418, 102.035
611, 14.661193391, 14.661264748, 71.357
612, 14.681193390, 14.681307086, 113.696
613, 14.701193387, 14.701298177, 104.790
