------------------------------
test was performed using the following parameters: --mps=5000 --burst=1 --reply-every=100 --msg-size=1024 --time=300 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=299.999 sec; Warm up time=400 msec; SentMessages=1499995; ReceivedMessages=14999
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=299.480 sec; SentMessages=1497401; ReceivedMessages=14975
sockperf: [2;35m====> avg-rtt=101.926 (std-dev=25.485)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 14975 observations[0m; each percentile contains 149.75 observations
sockperf: ---> <MAX> observation =  531.956
sockperf: ---> percentile 99.999 =  531.956
sockperf: ---> percentile 99.990 =  299.999
sockperf: ---> percentile 99.900 =  192.845
sockperf: ---> percentile 99.000 =  180.199
sockperf: ---> percentile 90.000 =  123.090
sockperf: ---> percentile 75.000 =  111.837
sockperf: ---> percentile 50.000 =  104.528
sockperf: ---> percentile 25.000 =   94.464
sockperf: ---> <MIN> observation =   48.650
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
0, 2.441193388, 2.441274749, 81.361
1, 2.461193384, 2.461295946, 102.562
2, 2.481193378, 2.481278496, 85.118
3, 2.501193375, 2.501298458, 105.083
4, 2.521193375, 2.521313009, 119.634
5, 2.541193380, 2.541307362, 113.982
6, 2.561193382, 2.561300376, 106.994
7, 2.581193378, 2.581295909, 102.531
8, 2.601193362, 2.601300025, 106.663
9, 2.621193367, 2.621297807, 104.440
10, 2.641193366, 2.641299291, 105.925
11, 2.661193368, 2.661298642, 105.274
12, 2.681193370, 2.681252088, 58.718
13, 2.701193365, 2.701253903, 60.538
14, 2.721193366, 2.721294932, 101.566
15, 2.741193368, 2.741295181, 101.813
16, 2.761208968, 2.761270892, 61.924
17, 2.781193363, 2.781295230, 101.867
18, 2.801193367, 2.801256916, 63.549
19, 2.821193366, 2.821294338, 100.972
20, 2.841193360, 2.841277081, 83.721
21, 2.861193361, 2.861288529, 95.168
22, 2.881193365, 2.881295442, 102.077
23, 2.901193366, 2.901290594, 97.228
24, 2.921193362, 2.921296998, 103.636
25, 2.941193366, 2.941297374, 104.008
26, 2.961193363, 2.961313133, 119.770
27, 2.981193359, 2.981301023, 107.664
28, 3.001193363, 3.001294956, 101.593
29, 3.021193362, 3.021291596, 98.234
30, 3.041193365, 3.041292347, 98.982
31, 3.061193362, 3.061292176, 98.814
32, 3.081193368, 3.081292947, 99.579
33, 3.101193369, 3.101292667, 99.298
34, 3.121193361, 3.121262773, 69.412
35, 3.141193367, 3.141300363, 106.996
36, 3.161193363, 3.161296844, 103.481
37, 3.181193362, 3.181252429, 59.067
38, 3.201193362, 3.201292777, 99.415
39, 3.221193368, 3.221302447, 109.079
40, 3.241193367, 3.241303973, 110.606
41, 3.261193360, 3.261299096, 105.736
42, 3.281193365, 3.281294843, 101.478
43, 3.301193362, 3.301325384, 132.022
44, 3.321193365, 3.321305480, 112.115
45, 3.341193362, 3.341384682, 191.320
46, 3.361193362, 3.361305202, 111.840
47, 3.381193366, 3.381365586, 172.220
48, 3.401193365, 3.401308519, 115.154
49, 3.421193362, 3.421304446, 111.084
50, 3.441193362, 3.441299897, 106.535
51, 3.461193365, 3.461301535, 108.170
52, 3.481193367, 3.481303217, 109.850
53, 3.501193366, 3.501310744, 117.378
54, 3.521193358, 3.521309629, 116.271
55, 3.541193370, 3.541256374, 63.004
56, 3.561193365, 3.561300980, 107.615
57, 3.581193366, 3.581282033, 88.667
58, 3.601193365, 3.601275632, 82.267
59, 3.621193365, 3.621266526, 73.161
60, 3.641193365, 3.641303311, 109.946
61, 3.661193366, 3.661308558, 115.192
62, 3.681193368, 3.681302037, 108.669
63, 3.701193366, 3.701284183, 90.817
64, 3.721193369, 3.721301758, 108.389
65, 3.741193364, 3.741304981, 111.617
66, 3.761193370, 3.761315580, 122.210
67, 3.781193362, 3.781303831, 110.469
68, 3.801193362, 3.801308934, 115.572
69, 3.821193362, 3.821298070, 104.708
70, 3.841193364, 3.841299903, 106.539
71, 3.861193359, 3.861299595, 106.236
72, 3.881193363, 3.881302109, 108.746
73, 3.901193365, 3.901299549, 106.184
74, 3.921193363, 3.921301681, 108.318
75, 3.941193362, 3.941305744, 112.382
76, 3.961193358, 3.961304043, 110.685
77, 3.981193366, 3.981302038, 108.672
78, 4.001193358, 4.001258554, 65.196
79, 4.021193364, 4.021299523, 106.159
80, 4.041193376, 4.041304496, 111.120
81, 4.061193363, 4.061295263, 101.900
82, 4.081193361, 4.081292898, 99.537
83, 4.101193364, 4.101290651, 97.287
84, 4.121193365, 4.121302590, 109.225
85, 4.141193368, 4.141293315, 99.947
86, 4.161193365, 4.161297293, 103.928
87, 4.181193362, 4.181294268, 100.906
88, 4.201193359, 4.201293534, 100.175
89, 4.221193369, 4.221257955, 64.586
90, 4.241193360, 4.241294220, 100.860
91, 4.261193363, 4.261312093, 118.730
92, 4.281193360, 4.281305195, 111.835
93, 4.301193363, 4.301256921, 63.558
94, 4.321193363, 4.321260022, 66.659
95, 4.341193370, 4.341256564, 63.194
96, 4.361193364, 4.361301766, 108.402
97, 4.381193363, 4.381259522, 66.159
98, 4.401193365, 4.401252796, 59.431
99, 4.421193362, 4.421298301, 104.939
100, 4.441193362, 4.441297421, 104.059
101, 4.461193371, 4.461293328, 99.957
102, 4.481193367, 4.481301081, 107.714
103, 4.501193364, 4.501320878, 127.514
104, 4.521193368, 4.521304744, 111.376
105, 4.541193366, 4.541302921, 109.555
106, 4.561193361, 4.561260924, 67.563
107, 4.581193358, 4.581307009, 113.651
108, 4.601193366, 4.601312257, 118.891
109, 4.621193365, 4.621303359, 109.994
110, 4.641193362, 4.641302936, 109.574
111, 4.661193360, 4.661311595, 118.235
112, 4.681193364, 4.681296085, 102.721
113, 4.701193366, 4.701294134, 100.768
114, 4.721193364, 4.721296329, 102.965
115, 4.741193367, 4.741322976, 129.609
116, 4.761193363, 4.761304776, 111.413
117, 4.781193365, 4.781297836, 104.471
118, 4.801193365, 4.801301343, 107.978
119, 4.821193370, 4.821301865, 108.495
120, 4.841193369, 4.841306291, 112.922
121, 4.861193367, 4.861308586, 115.219
122, 4.881193366, 4.881307069, 113.703
123, 4.901193365, 4.901260536, 67.171
124, 4.921193362, 4.921299393, 106.031
125, 4.941193367, 4.941301440, 108.073
126, 4.961193369, 4.961301084, 107.715
127, 4.981193368, 4.981263351, 69.983
128, 5.001193368, 5.001305067, 111.699
129, 5.021193365, 5.021301047, 107.682
130, 5.041193362, 5.041300510, 107.148
131, 5.061193367, 5.061295839, 102.472
132, 5.081193365, 5.081296920, 103.555
133, 5.101193365, 5.101291636, 98.271
134, 5.121193370, 5.121299168, 105.798
135, 5.141193363, 5.141311804, 118.441
136, 5.161193363, 5.161262225, 68.862
137, 5.181193369, 5.181303736, 110.367
138, 5.201193370, 5.201274919, 81.549
139, 5.221193359, 5.221296444, 103.085
140, 5.241193365, 5.241295864, 102.499
141, 5.261193362, 5.261294486, 101.124
142, 5.281193368, 5.281288966, 95.598
143, 5.301193365, 5.301289543, 96.178
144, 5.321193362, 5.321316714, 123.352
145, 5.341193367, 5.341309685, 116.318
146, 5.361193362, 5.361267769, 74.407
147, 5.381193369, 5.381260330, 66.961
148, 5.401193364, 5.401262656, 69.292
149, 5.421193362, 5.421307949, 114.587
150, 5.441193362, 5.441304971, 111.609
151, 5.461193360, 5.461289739, 96.379
152, 5.481193369, 5.481303889, 110.520
153, 5.501193364, 5.501317605, 124.241
154, 5.521193365, 5.521303501, 110.136
155, 5.541193363, 5.541302078, 108.715
156, 5.561193362, 5.561301482, 108.120
157, 5.581193371, 5.581311585, 118.214
158, 5.601193364, 5.601306229, 112.865
159, 5.621193362, 5.621297198, 103.836
160, 5.641193362, 5.641298635, 105.273
161, 5.661193368, 5.661258893, 65.525
162, 5.681193364, 5.681276979, 83.615
163, 5.701193362, 5.701258876, 65.514
164, 5.721193368, 5.721278855, 85.487
165, 5.741193363, 5.741258147, 64.784
166, 5.761193365, 5.761315419, 122.054
167, 5.781193365, 5.781298874, 105.509
168, 5.801193364, 5.801317049, 123.685
169, 5.821193365, 5.821304249, 110.884
170, 5.841193364, 5.841263134, 69.770
171, 5.861193363, 5.861301824, 108.461
172, 5.881193365, 5.881301603, 108.238
173, 5.901193362, 5.901297094, 103.732
174, 5.921193365, 5.921300838, 107.473
175, 5.941193365, 5.941320577, 127.212
176, 5.961193368, 5.961310907, 117.539
177, 5.981193362, 5.981300653, 107.291
178, 6.001193364, 6.001301415, 108.051
179, 6.021193366, 6.021260946, 67.580
180, 6.041193365, 6.041315354, 121.989
181, 6.061193364, 6.061264925, 71.561
182, 6.081193366, 6.081300790, 107.424
183, 6.101193363, 6.101259057, 65.694
184, 6.121193363, 6.121299761, 106.398
185, 6.141193359, 6.141304432, 111.073
186, 6.161193364, 6.161300600, 107.236
187, 6.181193360, 6.181300216, 106.856
188, 6.201193363, 6.201288749, 95.386
189, 6.221193364, 6.221304112, 110.748
190, 6.241193361, 6.241308791, 115.430
191, 6.261193363, 6.261298748, 105.385
192, 6.281193367, 6.281298202, 104.835
193, 6.301193365, 6.301314931, 121.566
