ATOP - ml4drvr 2021/11/09 00:40:45 -------------- 5d17h8m18s elapsed
PRC | sys 6h09m | user 1h45m | #proc 728 | #zombie 0 | #exit 0 |
CPU | sys 24% | user 52% | irq 2% | idle 6321% | wait 0% |
cpu | sys 1% | user 2% | irq 0% | idle 97% | cpu000 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu002 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu004 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu012 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu008 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu010 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu014 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu026 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu006 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu018 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu031 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu020 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu063 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu024 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu022 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu030 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu016 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu021 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu028 w 0% |
cpu | sys 1% | user 1% | irq 0% | idle 98% | cpu042 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 98% | cpu032 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu034 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu040 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu009 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu062 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu011 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu001 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu015 w 0% |
cpu | sys 0% | user 1% | irq 0% | idle 99% | cpu019 w 0% |
