gpu,socket_power,gfx_voltage,soc_voltage,mem_voltage,throttle_status,power_management
0,136,N/A,N/A,N/A,UNTHROTTLED,ENABLED
1,135,N/A,N/A,N/A,UNTHROTTLED,ENABLED
2,137,N/A,N/A,N/A,UNTHROTTLED,ENABLED
3,133,N/A,N/A,N/A,UNTHROTTLED,ENABLED
4,138,N/A,N/A,N/A,UNTHROTTLED,ENABLED
5,137,N/A,N/A,N/A,UNTHROTTLED,ENABLED
6,135,N/A,N/A,N/A,UNTHROTTLED,ENABLED
7,137,N/A,N/A,N/A,UNTHROTTLED,ENABLED
