4         Threads
1         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p90 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec
------------------------------------------------------------------------------------------------------------------------------------------------------------
Sets         4892.38          ---          ---         2.60820         2.79900         3.88700         4.41500         7.00700        28.15900       333.90
Gets        44031.14     44031.14         0.00         2.58644         2.73500         3.85500         4.35100         6.94300        28.03100      3774.33
Waits           0.00          ---          ---             ---             ---             ---             ---             ---             ---          ---
Totals      48923.52     44031.14         0.00         2.58862         2.73500         3.85500         4.35100         6.94300        28.03100      4108.23


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.367        5.000
SET       0.551       10.000
SET       0.855       15.000
SET       1.231       20.000
SET       1.607       25.000
SET       1.943       30.000
SET       2.223       35.000
SET       2.447       40.000
SET       2.639       45.000
SET       2.799       50.000
SET       2.863       52.500
SET       2.927       55.000
SET       2.991       57.500
SET       3.039       60.000
SET       3.087       62.500
SET       3.119       65.000
SET       3.167       67.500
SET       3.199       70.000
SET       3.247       72.500
SET       3.311       75.000
SET       3.343       76.250
SET       3.375       77.500
SET       3.423       78.750
SET       3.471       80.000
SET       3.519       81.250
SET       3.567       82.500
SET       3.615       83.750
SET       3.663       85.000
SET       3.727       86.250
SET       3.775       87.500
SET       3.791       88.125
SET       3.823       88.750
SET       3.855       89.375
SET       3.887       90.000
SET       3.935       90.625
SET       3.967       91.250
SET       4.015       91.875
SET       4.079       92.500
SET       4.159       93.125
SET       4.223       93.750
SET       4.255       94.062
SET       4.319       94.375
SET       4.351       94.688
SET       4.415       95.000
SET       4.447       95.312
SET       4.543       95.625
SET       4.607       95.938
SET       4.703       96.250
SET       4.799       96.562
SET       4.927       96.875
SET       5.023       97.031
SET       5.119       97.188
SET       5.183       97.344
SET       5.311       97.500
SET       5.407       97.656
SET       5.567       97.812
SET       5.695       97.969
SET       5.823       98.125
SET       5.983       98.281
SET       6.175       98.438
SET       6.271       98.516
SET       6.399       98.594
SET       6.495       98.672
SET       6.591       98.750
SET       6.719       98.828
SET       6.847       98.906
SET       6.975       98.984
SET       7.167       99.062
SET       7.327       99.141
SET       7.519       99.219
SET       7.647       99.258
SET       7.743       99.297
SET       7.903       99.336
SET       8.031       99.375
SET       8.191       99.414
SET       8.383       99.453
SET       8.575       99.492
SET       8.831       99.531
SET       9.151       99.570
SET       9.407       99.609
SET       9.663       99.629
SET       9.919       99.648
SET      10.175       99.668
SET      10.559       99.688
SET      10.815       99.707
SET      11.391       99.727
SET      12.031       99.746
SET      12.799       99.766
SET      13.823       99.785
SET      15.871       99.805
SET      16.895       99.814
SET      18.303       99.824
SET      20.351       99.834
SET      22.143       99.844
SET      23.551       99.854
SET      25.087       99.863
SET      25.983       99.873
SET      27.007       99.883
SET      27.647       99.893
SET      28.287       99.902
SET      28.799       99.907
SET      29.055       99.912
SET      29.823       99.917
SET      30.207       99.922
SET      30.463       99.927
SET      30.975       99.932
SET      31.615       99.937
SET      32.127       99.941
SET      33.279       99.946
SET      34.047       99.951
SET      34.303       99.954
SET      34.559       99.956
SET      35.327       99.958
SET      35.839       99.961
SET      36.351       99.963
SET      37.631       99.966
SET      38.143       99.968
SET      38.655       99.971
SET      39.679       99.973
SET      40.191       99.976
SET      40.447       99.977
SET      40.703       99.978
SET      41.471       99.979
SET      41.727       99.980
SET      42.239       99.982
SET      42.495       99.983
SET      43.007       99.984
SET      43.263       99.985
SET      43.519       99.987
SET      44.031       99.988
SET      44.031       99.988
SET      44.031       99.989
SET      44.543       99.990
SET      45.055       99.990
SET      45.311       99.991
SET      45.567       99.991
SET      46.079       99.992
SET      46.847       99.993
SET      46.847       99.993
