4         Threads
1         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p90 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec
------------------------------------------------------------------------------------------------------------------------------------------------------------
Sets         4706.32          ---          ---         2.70510         2.86300         4.06300         4.57500         7.35900        24.83100       321.21
Gets        42356.45     42356.45         0.00         2.68904         2.81500         4.03100         4.54300         7.32700        24.70300      3630.78
Waits           0.00          ---          ---             ---             ---             ---             ---             ---             ---          ---
Totals      47062.77     42356.45         0.00         2.69065         2.81500         4.04700         4.54300         7.32700        24.70300      3951.99


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.407        5.000
SET       0.623       10.000
SET       0.951       15.000
SET       1.351       20.000
SET       1.711       25.000
SET       2.031       30.000
SET       2.287       35.000
SET       2.511       40.000
SET       2.703       45.000
SET       2.863       50.000
SET       2.943       52.500
SET       3.007       55.000
SET       3.071       57.500
SET       3.119       60.000
SET       3.167       62.500
SET       3.199       65.000
SET       3.247       67.500
SET       3.311       70.000
SET       3.375       72.500
SET       3.439       75.000
SET       3.487       76.250
SET       3.519       77.500
SET       3.567       78.750
SET       3.615       80.000
SET       3.663       81.250
SET       3.695       82.500
SET       3.743       83.750
SET       3.807       85.000
SET       3.855       86.250
SET       3.919       87.500
SET       3.951       88.125
SET       3.983       88.750
SET       4.015       89.375
SET       4.063       90.000
SET       4.127       90.625
SET       4.159       91.250
SET       4.223       91.875
SET       4.287       92.500
SET       4.351       93.125
SET       4.415       93.750
SET       4.447       94.062
SET       4.479       94.375
SET       4.543       94.688
SET       4.575       95.000
SET       4.639       95.312
SET       4.703       95.625
SET       4.799       95.938
SET       4.863       96.250
SET       4.959       96.562
SET       5.087       96.875
SET       5.183       97.031
SET       5.247       97.188
SET       5.343       97.344
SET       5.439       97.500
SET       5.567       97.656
SET       5.727       97.812
SET       5.855       97.969
SET       6.015       98.125
SET       6.207       98.281
SET       6.431       98.438
SET       6.527       98.516
SET       6.655       98.594
SET       6.751       98.672
SET       6.879       98.750
SET       7.039       98.828
SET       7.167       98.906
SET       7.327       98.984
SET       7.487       99.062
SET       7.679       99.141
SET       7.871       99.219
SET       7.999       99.258
SET       8.127       99.297
SET       8.255       99.336
SET       8.511       99.375
SET       8.639       99.414
SET       8.831       99.453
SET       9.023       99.492
SET       9.279       99.531
SET       9.535       99.570
SET       9.919       99.609
SET      10.047       99.629
SET      10.303       99.648
SET      10.559       99.668
SET      10.879       99.688
SET      11.455       99.707
SET      11.903       99.727
SET      12.735       99.746
SET      13.503       99.766
SET      14.783       99.785
SET      15.871       99.805
SET      16.511       99.814
SET      17.407       99.824
SET      18.175       99.834
SET      18.687       99.844
SET      19.711       99.854
SET      20.991       99.863
SET      21.887       99.873
SET      23.295       99.883
SET      24.319       99.893
SET      25.215       99.902
SET      25.727       99.907
SET      26.239       99.912
SET      26.751       99.917
SET      27.775       99.922
SET      28.415       99.927
SET      29.183       99.932
SET      29.695       99.937
SET      30.463       99.941
SET      30.975       99.946
SET      31.871       99.951
SET      32.255       99.954
SET      33.023       99.956
SET      33.535       99.958
SET      33.535       99.961
SET      34.047       99.963
SET      34.559       99.966
SET      35.327       99.968
SET      36.095       99.971
SET      37.631       99.973
SET      39.167       99.976
SET      39.423       99.977
SET      40.959       99.978
SET      41.215       99.979
SET      41.983       99.980
SET      43.263       99.982
SET      43.519       99.983
SET      46.079       99.984
SET      46.335       99.985
SET      46.847       99.987
SET      48.383       99.988
SET      48.639       99.988
SET      48.895       99.989
SET      49.151       99.990
SET      49.663       99.990
SET      49.663       99.991
SET      49.663       99.991
SET      50.175       99.992
SET      50.431       99.993
SET      51.711       99.993
