4         Threads
4         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p90 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
------------------------------------------------------------------------------------------------------------------------------------------------------------
Sets        31066.57          ---          ---        25.70197        26.23900        37.88700        41.98300        51.71100        62.46300      2180.96 
Gets        31066.57       248.21     30818.37        25.70197        26.23900        37.88700        41.98300        51.71100        62.46300      1006.06 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---             ---          --- 
Totals      62133.15       248.21     30818.37        25.70197        26.23900        37.88700        41.98300        51.71100        62.46300      3187.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.543        0.000
SET      10.239        5.000
SET      13.695       10.000
SET      14.783       15.000
SET      15.999       20.000
SET      16.511       25.000
SET      19.967       30.000
SET      21.375       35.000
SET      23.935       40.000
SET      24.191       45.000
SET      26.239       50.000
SET      27.775       52.500
SET      28.031       55.000
SET      28.031       57.500
SET      28.415       60.000
SET      29.823       62.500
SET      30.463       65.000
SET      31.871       67.500
SET      31.999       70.000
SET      31.999       72.500
SET      31.999       75.000
SET      31.999       76.250
SET      31.999       77.500
SET      32.127       78.750
SET      32.511       80.000
SET      33.535       81.250
SET      34.047       82.500
SET      35.327       83.750
SET      36.095       85.000
SET      36.095       86.250
SET      36.351       87.500
SET      36.607       88.125
SET      37.375       88.750
SET      37.887       89.375
SET      37.887       90.000
SET      38.143       90.625
SET      38.911       91.250
SET      39.935       91.875
SET      40.191       92.500
SET      40.191       93.125
SET      41.471       93.750
SET      41.727       94.062
SET      41.727       94.375
SET      41.983       94.688
SET      41.983       95.000
SET      41.983       95.312
SET      42.239       95.625
SET      43.263       95.938
SET      43.775       96.250
SET      44.031       96.562
SET      45.055       96.875
SET      45.567       97.031
SET      45.823       97.188
SET      46.079       97.344
SET      46.079       97.500
SET      47.103       97.656
SET      47.359       97.812
SET      48.127       97.969
SET      48.127       98.125
SET      49.151       98.281
SET      49.663       98.438
SET      49.919       98.516
SET      49.919       98.594
SET      50.175       98.672
SET      50.431       98.750
SET      50.943       98.828
SET      51.199       98.906
SET      51.711       98.984
SET      51.967       99.062
SET      52.223       99.141
SET      52.479       99.219
SET      52.991       99.258
SET      53.247       99.297
SET      53.503       99.336
SET      53.759       99.375
SET      53.759       99.414
SET      54.015       99.453
SET      54.271       99.492
SET      55.295       99.531
SET      55.807       99.570
SET      56.063       99.609
SET      56.319       99.629
SET      56.319       99.648
SET      56.319       99.668
SET      56.575       99.688
