4         Threads
1         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p90 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec
------------------------------------------------------------------------------------------------------------------------------------------------------------
Sets         4791.00          ---          ---         2.67920         2.83100         3.95100         4.51100         8.38300        35.83900       326.98
Gets        43118.78     43118.78         0.00         2.64020         2.75100         3.90300         4.44700         7.96700        34.81500      3696.12
Waits           0.00          ---          ---             ---             ---             ---             ---             ---             ---          ---
Totals      47909.78     43118.78         0.00         2.64410         2.75100         3.91900         4.44700         7.99900        35.07100      4023.11


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.359        5.000
SET       0.511       10.000
SET       0.775       15.000
SET       1.127       20.000
SET       1.519       25.000
SET       1.887       30.000
SET       2.207       35.000
SET       2.447       40.000
SET       2.655       45.000
SET       2.831       50.000
SET       2.895       52.500
SET       2.959       55.000
SET       3.007       57.500
SET       3.055       60.000
SET       3.103       62.500
SET       3.135       65.000
SET       3.183       67.500
SET       3.231       70.000
SET       3.279       72.500
SET       3.343       75.000
SET       3.375       76.250
SET       3.423       77.500
SET       3.471       78.750
SET       3.519       80.000
SET       3.551       81.250
SET       3.615       82.500
SET       3.663       83.750
SET       3.711       85.000
SET       3.759       86.250
SET       3.823       87.500
SET       3.839       88.125
SET       3.871       88.750
SET       3.919       89.375
SET       3.951       90.000
SET       3.999       90.625
SET       4.047       91.250
SET       4.095       91.875
SET       4.159       92.500
SET       4.223       93.125
SET       4.319       93.750
SET       4.351       94.062
SET       4.383       94.375
SET       4.447       94.688
SET       4.511       95.000
SET       4.575       95.312
SET       4.639       95.625
SET       4.735       95.938
SET       4.831       96.250
SET       4.991       96.562
SET       5.151       96.875
SET       5.247       97.031
SET       5.375       97.188
SET       5.503       97.344
SET       5.663       97.500
SET       5.823       97.656
SET       5.983       97.812
SET       6.207       97.969
SET       6.431       98.125
SET       6.655       98.281
SET       6.911       98.438
SET       7.039       98.516
SET       7.199       98.594
SET       7.359       98.672
SET       7.583       98.750
SET       7.743       98.828
SET       7.999       98.906
SET       8.319       98.984
SET       8.639       99.062
SET       9.023       99.141
SET       9.471       99.219
SET       9.727       99.258
SET       9.983       99.297
SET      10.303       99.336
SET      10.815       99.375
SET      11.647       99.414
SET      12.607       99.453
SET      13.631       99.492
SET      15.039       99.531
SET      16.255       99.570
SET      17.919       99.609
SET      18.687       99.629
SET      19.327       99.648
SET      19.967       99.668
SET      20.991       99.688
SET      21.887       99.707
SET      23.039       99.727
SET      24.447       99.746
SET      25.855       99.766
SET      27.263       99.785
SET      28.671       99.805
SET      29.055       99.814
SET      29.439       99.824
SET      30.207       99.834
SET      30.847       99.844
SET      31.359       99.854
SET      31.999       99.863
SET      33.535       99.873
SET      34.559       99.883
SET      35.583       99.893
SET      36.095       99.902
SET      36.607       99.907
SET      37.119       99.912
SET      37.631       99.917
SET      38.399       99.922
SET      38.911       99.927
SET      39.423       99.932
SET      39.935       99.937
SET      40.959       99.941
SET      41.471       99.946
SET      42.239       99.951
SET      42.495       99.954
SET      42.751       99.956
SET      43.519       99.958
SET      44.543       99.961
SET      44.799       99.963
SET      45.055       99.966
SET      45.311       99.968
SET      45.823       99.971
SET      46.847       99.973
SET      47.615       99.976
SET      47.871       99.977
SET      47.871       99.978
SET      48.383       99.979
SET      48.639       99.980
SET      48.895       99.982
SET      48.895       99.983
SET      49.919       99.984
SET      50.431       99.985
SET      51.455       99.987
SET      51.967       99.988
SET      53.503       99.988
SET      53.759       99.989
SET      53.759       99.990
SET      54.527       99.990
SET      54.783       99.991
SET      55.039       99.991
SET      56.319       99.992
SET      56.319       99.993
SET      58.623       99.993
