#Entity   GRACT        TENSO        DRAMA        
ID                                               
GPU 0     0.000        0.000        0.000        
GPU 0     0.170        0.121        0.032        
GPU 0     0.998        0.885        0.305        
GPU 0     0.998        0.885        0.305        
GPU 0     0.998        0.885        0.306        
GPU 0     0.998        0.885        0.299        
GPU 0     0.998        0.885        0.299        
GPU 0     0.998        0.885        0.301        
GPU 0     0.998        0.885        0.303        
GPU 0     0.998        0.885        0.302        
GPU 0     0.998        0.885        0.304        
GPU 0     0.998        0.885        0.300        
GPU 0     0.998        0.885        0.295        
GPU 0     0.762        0.653        0.252        
GPU 0     0.000        0.000        0.000        
