Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
csc 2016-10-13 -3,5.32,60.93,6627202,1669142,25.19,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
csc 2016-10-13 -5,1.82,92.86,6627202,1339538,20.21,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
density 0.14.2 -1,1833.57,1903.85,6627202,3673624,55.43,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
density 0.14.2 -2,883.74,1270.41,6627202,3190236,48.14,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
density 0.14.2 -3,390.79,405.16,6627202,2721408,41.06,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlz 0.1 -1,255.41,368.54,6627202,3335571,50.33,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlz 0.1 -2,233.70,402.83,6627202,3186529,48.08,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlzma2 1.0.1 -1,18.61,63.43,6627202,1890406,28.52,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlzma2 1.0.1 -3,8.59,82.76,6627202,1578813,23.82,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlzma2 1.0.1 -5,5.99,101.77,6627202,1381338,20.84,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlzma2 1.0.1 -8,4.94,101.24,6627202,1339505,20.21,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
fastlzma2 1.0.1 -10,4.45,103.11,6627202,1331871,20.10,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
gipfeli 2016-07-13,262.16,0.00,6627202,2644916,39.91,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
libdeflate 1.3 -1,147.13,777.78,6627202,2206932,33.30,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
libdeflate 1.3 -3,107.26,905.57,6627202,2029062,30.62,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
libdeflate 1.3 -6,50.68,842.39,6627202,1883048,28.41,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
libdeflate 1.3 -9,6.58,844.69,6627202,1707622,25.77,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
libdeflate 1.3 -12,3.86,819.80,6627202,1694728,25.57,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -10,297.66,1505.41,6627202,3184901,48.06,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -12,110.14,1644.93,6627202,2668350,40.26,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -15,45.89,1817.84,6627202,2274267,34.32,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -19,5.15,1758.18,6627202,2064979,31.16,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -20,283.26,1204.25,6627202,3036942,45.83,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -22,134.08,1320.96,6627202,2694612,40.66,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -25,18.39,1485.60,6627202,2274790,34.33,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -29,2.05,1440.86,6627202,1818660,27.44,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -30,235.05,1240.31,6627202,2853579,43.06,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -32,108.86,1345.55,6627202,2536746,38.28,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -35,54.59,1453.70,6627202,2169683,32.74,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -39,5.08,1371.85,6627202,1813361,27.36,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -40,240.77,917.77,6627202,2474335,37.34,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -42,125.60,1001.61,6627202,2264917,34.18,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -45,17.37,1096.22,6627202,1953554,29.48,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lizard 1.0 -49,1.90,1066.94,6627202,1546879,23.34,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4 1.9.2,347.23,2724.29,6627202,3181387,48.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4fast 1.9.2 -3,360.12,2783.45,6627202,3322020,50.13,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4fast 1.9.2 -17,483.96,2550.95,6627202,4403444,66.44,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4hc 1.9.2 -1,87.99,2818.01,6627202,2602300,39.27,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4hc 1.9.2 -4,51.95,3062.01,6627202,2302024,34.74,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4hc 1.9.2 -9,12.94,3192.86,6627202,2111095,31.85,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lz4hc 1.9.2 -12,8.00,3334.39,6627202,2063052,31.13,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzf 3.6 -0,256.07,454.22,6627202,3365987,50.79,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzf 3.6 -1,246.21,469.43,6627202,3253836,49.10,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzfse 2017-03-08,62.89,545.74,6627202,2009293,30.32,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzg 1.0.10 -1,46.02,326.87,6627202,3326973,50.20,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzg 1.0.10 -4,28.12,372.16,6627202,2948111,44.49,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzg 1.0.10 -6,19.64,429.50,6627202,2715211,40.97,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzg 1.0.10 -8,5.96,529.20,6627202,2427424,36.63,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzham 1.0 -d26 -0,8.10,153.48,6627202,2111331,31.86,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzham 1.0 -d26 -1,2.23,269.58,6627202,1544771,23.31,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzjb 2010,193.59,224.37,6627202,3889268,58.69,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzlib 1.11 -0,30.85,44.40,6627202,2082297,31.42,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzlib 1.11 -3,6.80,56.22,6627202,1765692,26.64,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzlib 1.11 -6,1.80,75.05,6627202,1331091,20.09,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzlib 1.11 -9,1.58,75.75,6627202,1313763,19.82,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzma 19.00 -0,20.65,58.97,6627202,1921954,29.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzma 19.00 -2,19.52,67.79,6627202,1807903,27.28,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzma 19.00 -4,15.29,70.62,6627202,1777103,26.82,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzma 19.00 -5,2.01,102.23,6627202,1340398,20.23,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzma 19.00 -9,1.86,104.67,6627202,1318030,19.89,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1 2.10 -1,225.34,382.87,6627202,3409466,51.45,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1 2.10 -99,87.19,443.29,6627202,2818105,42.52,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1a 2.10 -1,214.55,386.27,6627202,3400013,51.30,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1a 2.10 -99,83.80,439.93,6627202,2813424,42.45,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1b 2.10 -1,207.81,411.57,6627202,3010857,45.43,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1b 2.10 -3,197.17,442.60,6627202,2856899,43.11,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1b 2.10 -6,148.00,455.32,6627202,2817461,42.51,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1b 2.10 -9,120.62,442.22,6627202,2682564,40.48,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1b 2.10 -99,89.52,435.69,6627202,2553409,38.53,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1b 2.10 -999,7.05,543.81,6627202,2051760,30.96,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1c 2.10 -1,201.44,388.76,6627202,3116211,47.02,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1c 2.10 -3,200.20,410.83,6627202,2963252,44.71,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1c 2.10 -6,142.86,422.40,6627202,2896311,43.70,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1c 2.10 -9,115.19,428.28,6627202,2746176,41.44,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1c 2.10 -99,89.60,428.96,6627202,2631578,39.71,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1c 2.10 -999,12.60,459.38,6627202,2240055,33.80,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1f 2.10 -1,176.90,333.58,6627202,3167020,47.79,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1f 2.10 -999,9.48,432.31,6627202,2270386,34.26,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1x 2.10 -1,330.12,354.74,6627202,3170859,47.85,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1x 2.10 -11,321.98,342.09,6627202,3270182,49.34,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1x 2.10 -12,337.18,345.06,6627202,3203984,48.35,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1x 2.10 -15,339.85,350.86,6627202,3183068,48.03,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1x 2.10 -999,2.76,451.59,6627202,2125875,32.08,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1y 2.10 -1,355.39,365.90,6627202,3270577,49.35,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1y 2.10 -999,2.71,453.36,6627202,2119488,31.98,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo1z 2.10 -999,2.78,457.77,6627202,2129690,32.14,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzo2a 2.10 -999,15.50,358.04,6627202,2416763,36.47,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzrw 15-Jul-1991 -1,222.52,394.49,6627202,3524660,53.18,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzrw 15-Jul-1991 -3,217.19,373.97,6627202,3224618,48.66,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzrw 15-Jul-1991 -4,248.64,423.58,6627202,3043004,45.92,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzrw 15-Jul-1991 -5,112.69,465.27,6627202,2502161,37.76,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse2 2019-04-18 -1,17.24,3055.94,6627202,2657481,40.10,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse2 2019-04-18 -6,6.01,4409.55,6627202,1852706,27.96,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse2 2019-04-18 -12,5.97,4412.19,6627202,1852684,27.96,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse2 2019-04-18 -16,5.97,4412.43,6627202,1852684,27.96,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse4 2019-04-18 -1,15.49,3564.40,6627202,2377220,35.87,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse4 2019-04-18 -6,7.09,4505.15,6627202,1856525,28.01,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse4 2019-04-18 -12,7.10,4508.85,6627202,1856519,28.01,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse4 2019-04-18 -16,7.12,4510.08,6627202,1856519,28.01,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse8 2019-04-18 -1,14.01,3411.99,6627202,2402352,36.25,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse8 2019-04-18 -6,6.49,4076.22,6627202,1901964,28.70,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse8 2019-04-18 -12,6.57,4076.21,6627202,1901958,28.70,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzsse8 2019-04-18 -16,6.59,4075.97,6627202,1901958,28.70,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzvn 2017-03-08,51.03,792.56,6627202,2439060,36.80,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
pithy 2011-12-24 -0,334.05,1064.22,6627202,3335080,50.32,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
pithy 2011-12-24 -3,357.40,1141.38,6627202,3064066,46.23,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
pithy 2011-12-24 -6,382.79,1367.18,6627202,2864478,43.22,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
pithy 2011-12-24 -9,367.10,1411.98,6627202,2795067,42.18,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
quicklz 1.5.0 -1,341.32,536.44,6627202,3003825,45.33,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
quicklz 1.5.0 -2,165.72,566.06,6627202,2560936,38.64,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
quicklz 1.5.0 -3,38.76,659.65,6627202,2448354,36.94,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
slz_gzip 1.2.0 -1,232.98,241.83,6627202,3274650,49.41,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
slz_gzip 1.2.0 -2,229.08,238.10,6627202,3192249,48.17,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
slz_gzip 1.2.0 -3,225.93,237.93,6627202,3171865,47.86,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
snappy 2019-09-30,264.65,741.62,6627202,3234968,48.81,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -1,225.05,279.32,6627202,3281562,49.52,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -2,196.59,291.95,6627202,2840344,42.86,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -3,133.23,214.86,6627202,2242702,33.84,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -4,124.69,220.23,6627202,2216175,33.44,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -5,57.74,159.74,6627202,1961478,29.60,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -6,40.81,172.91,6627202,1869188,28.20,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -7,23.95,210.21,6627202,1650408,24.90,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -10,9.50,242.58,6627202,1501871,22.66,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -13,4.36,207.78,6627202,1525108,23.01,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
tornado 0.6a -16,2.18,248.17,6627202,1343476,20.27,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2b 1.03 -1,43.99,195.63,6627202,2493391,37.62,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2b 1.03 -6,10.42,241.23,6627202,2161232,32.61,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2b 1.03 -9,0.70,277.20,6627202,2077054,31.34,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2d 1.03 -1,44.85,189.55,6627202,2486091,37.51,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2d 1.03 -6,10.76,237.32,6627202,2148509,32.42,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2d 1.03 -9,0.72,279.76,6627202,2028671,30.61,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2e 1.03 -1,44.54,193.03,6627202,2468450,37.25,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2e 1.03 -6,10.76,247.40,6627202,2122332,32.02,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
ucl_nrv2e 1.03 -9,0.72,299.52,6627202,2008715,30.31,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xpack 2016-06-02 -1,142.96,533.94,6627202,2279716,34.40,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xpack 2016-06-02 -6,39.49,845.74,6627202,1838285,27.74,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xpack 2016-06-02 -9,9.23,899.80,6627202,1730243,26.11,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xz 5.2.4 -0,20.31,51.62,6627202,2024656,30.55,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xz 5.2.4 -3,5.78,71.52,6627202,1677670,25.31,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xz 5.2.4 -6,1.82,98.09,6627202,1316901,19.87,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
xz 5.2.4 -9,1.85,96.01,6627202,1316901,19.87,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yalz77 2015-09-19 -1,110.33,382.91,6627202,3017083,45.53,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yalz77 2015-09-19 -4,64.24,408.00,6627202,2679592,40.43,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yalz77 2015-09-19 -8,44.14,416.50,6627202,2569444,38.77,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yalz77 2015-09-19 -12,35.89,420.25,6627202,2520600,38.03,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yappy 2014-03-22 -1,112.22,1780.14,6627202,3011002,45.43,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yappy 2014-03-22 -10,67.42,1853.69,6627202,2781083,41.96,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
yappy 2014-03-22 -100,54.87,1901.72,6627202,2738695,41.33,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zlib 1.2.11 -1,68.26,267.57,6627202,2376430,35.86,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zlib 1.2.11 -6,14.86,295.27,6627202,1860871,28.08,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zlib 1.2.11 -9,4.90,295.56,6627202,1823196,27.51,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zling 2018-10-12 -0,81.63,177.15,6627202,1750600,26.42,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zling 2018-10-12 -1,71.53,187.55,6627202,1683362,25.40,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zling 2018-10-12 -2,64.13,192.53,6627202,1643227,24.80,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zling 2018-10-12 -3,51.96,192.55,6627202,1596854,24.10,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zling 2018-10-12 -4,41.76,197.61,6627202,1544329,23.30,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -1,242.54,1111.73,6627202,2152776,32.48,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -2,249.32,950.34,6627202,2071148,31.25,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -5,107.12,920.50,6627202,1945839,29.36,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -8,40.02,1151.04,6627202,1736110,26.20,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -11,21.86,1132.38,6627202,1663049,25.09,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -15,4.06,1176.63,6627202,1453535,21.93,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -18,2.40,1102.13,6627202,1352825,20.41,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
zstd 1.4.5 -22,2.13,1099.84,6627202,1350809,20.38,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
shrinker 0.1,256.88,786.09,6627202,3157154,47.64,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
wflz 2015-09-16,213.02,517.98,6627202,4035470,60.89,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
lzmat 1.01,13.60,319.64,6627202,2124786,32.06,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
blosclz 2.0.0 -1,13008.55,13425.90,10085684,10085684,100.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
blosclz 2.0.0 -3,2950.46,13440.16,10085684,10085684,100.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
blosclz 2.0.0 -6,239.29,766.36,10085684,7603431,75.39,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
blosclz 2.0.0 -9,237.15,753.31,10085684,7587174,75.23,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
brieflz 1.3.0 -1,195.90,239.14,10085684,4272528,42.36,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
brieflz 1.3.0 -3,102.96,234.23,10085684,4164886,41.30,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
brieflz 1.3.0 -6,26.71,249.20,10085684,3823054,37.91,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
brieflz 1.3.0 -8,3.17,253.50,10085684,3735386,37.04,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
brotli 2019-10-01 -0,376.28,323.77,10085684,3914923,38.82,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/osdb
