Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy ,5716.47,5683.63,6627202,6627202,100.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
blosclz 2.0.0 -1,13066.07,13635.57,6627202,6627202,100.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
blosclz 2.0.0 -3,470.73,13571.79,6627202,6627202,100.00,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
blosclz 2.0.0 -6,195.30,339.83,6627202,4233903,63.89,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
blosclz 2.0.0 -9,196.01,342.16,6627202,4233903,63.89,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brieflz 1.3.0 -1,166.77,177.57,6627202,2466444,37.22,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brieflz 1.3.0 -3,90.87,195.01,6627202,2225457,33.58,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brieflz 1.3.0 -6,22.54,218.02,6627202,1863297,28.12,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brieflz 1.3.0 -8,3.08,234.59,6627202,1696401,25.60,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brotli 2019-10-01 -0,303.29,335.82,6627202,2363877,35.67,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brotli 2019-10-01 -2,107.53,379.18,6627202,2063409,31.14,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brotli 2019-10-01 -5,27.09,466.40,6627202,1712577,25.84,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brotli 2019-10-01 -8,12.57,511.38,6627202,1559226,23.53,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
brotli 2019-10-01 -11,0.53,544.77,6627202,1335692,20.15,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
bzip2 1.0.8 -1,14.81,42.77,6627202,1480083,22.33,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
bzip2 1.0.8 -5,14.29,32.91,6627202,1292285,19.50,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
bzip2 1.0.8 -9,13.71,30.72,6627202,1246230,18.80,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
crush 1.0 -0,57.55,260.31,6627202,2190579,33.05,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
crush 1.0 -1,4.23,357.70,6627202,1758150,26.53,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
crush 1.0 -2,0.25,401.90,6627202,1644697,24.82,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
csc 2016-10-13 -1,22.40,60.50,6627202,1872324,28.25,/home/testuser1/Vc81/content/linux-x64/packages/lzbench/silesia/reymont
