Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1628.0
Domain Marker;max-jOPS;4103.0
Domain Marker;Last Success for SLAs;2345.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
42;88.36453966481051
84;89.67831431973816
126;92.37862133185598
167;92.894322436748
209;92.36032897967736
251;93.47868851798677
293;93.9933768063409
335;94.47025294495528
377;94.26062441409863
419;94.77106380854815
461;94.25259928536411
502;95.15767759224016
544;95.22530139336199
586;95.9638803464721
628;95.8425714801535
670;95.78544746261056
712;95.70823958571324
754;96.35377331003768
796;96.30093866515676
837;96.04819751889072
879;96.31686364674263
921;95.82139868456663
963;96.35203529954906
1005;96.17079978802528
1047;96.26657671779965
1089;96.295289082852
1130;96.12921028803453
1172;96.4603801539743
1214;96.45880653794191
1256;96.43643745220905
1298;96.76636554175634
1340;96.76804225305104
1382;96.5744270890055
1424;96.90869010959736
1465;96.37064893015344
1507;96.66262400725623
1549;97.27617931289808
1591;97.10257421287947
1633;96.85295913576203
1675;96.29455071788256
1717;96.94606556019346
1759;97.02531686896914
1800;96.95198225252592
1842;96.43427495057458
1884;96.84262090600448
1926;97.29858695295242
1968;97.18372086743331
2010;97.12969947899069
2052;96.72431719879346
2093;97.19175838681586
2135;97.07440991001721
2177;97.43609875694243
2219;96.98364215181405
2261;97.35868926205637
2303;97.31417497004503
2345;97.1926714426358
2387;97.2321616695081
2428;97.33733249640773
2470;96.59750213260898
2512;97.6232508456638
2554;96.84143899343728
2596;97.35860120767754
2638;96.78519121843814
2680;97.01377900283724
2722;96.77801407853947
2763;96.97701149191703
2805;96.49356027996616
2847;96.41863753623531
2889;96.96071175371813
2931;95.96977213723257
2973;97.01556704726092
3015;97.00777405406829
3057;96.91672668655914
3098;96.06881596526101
3140;96.68605001833625
3182;97.11080045974956
3224;95.99794688719325
3266;94.90798075229638
3308;95.38494764035141
3350;93.82352690672558
3391;92.66831818547735
3433;93.95407723675761
3475;91.220385784606
3517;92.65711184553368
3559;88.87921803244615
3601;90.96094045780181
3643;87.41316204212596
3685;87.25679130841691
3726;85.10264946367842
3768;84.75597834864158
3810;78.86761944105923
3852;79.48365917539711
3894;79.64140758882077
3936;68.44257148372496
3978;61.09541892656986
4020;64.33280053980454
4061;37.39849035818892
4103;31.572605788721283
4145;8.99030968970342
4187;2.4414347764716053
4229;1.6430012777835235
4271;19.80825397756304
