
===================================
Domain Marker;critical-jOPS;1628.0
Domain Marker;max-jOPS;4103.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
42.0;400.0;800.0;1100.0;1200.0;1500.0;3900.0
84.0;400.0;900.0;1200.0;1400.0;1800.0;105000.0
126.0;400.0;1000.0;1400.0;1600.0;2000.0;7200.0
167.0;400.0;1000.0;1600.0;1800.0;2300.0;91000.0
209.0;400.0;1100.0;1800.0;2000.0;2500.0;209000.0
251.0;400.0;1200.0;1900.0;2200.0;2800.0;191000.0
293.0;400.0;1200.0;2000.0;2300.0;3000.0;176000.0
335.0;400.0;1300.0;2200.0;2500.0;3100.0;180000.0
377.0;400.0;1400.0;2300.0;2600.0;3500.0;104000.0
419.0;400.0;1400.0;2500.0;2900.0;4200.0;193000.0
461.0;400.0;1500.0;2700.0;3100.0;4200.0;213000.0
502.0;400.0;1600.0;2800.0;3300.0;5200.0;218000.0
544.0;400.0;1600.0;3000.0;3500.0;5915.0000000001455;204000.0
586.0;400.0;1700.0;3100.0;3500.0;5200.0;219000.0
628.0;400.0;1800.0;3200.0;3700.0;6000.0;202000.0
670.0;400.0;1800.0;3200.0;3800.0;9200.0;259000.0
712.0;400.0;1900.0;3500.0;4000.0;9000.0;379000.0
754.0;400.0;2000.0;3700.0;4400.0;9300.0;360000.0
796.0;400.0;2100.0;3700.0;4300.0;8800.0;215000.0
837.0;400.0;2100.0;3900.0;4700.0;12100.0;356000.0
879.0;400.0;2200.0;4100.0;4900.0;16083.99999999965;303000.0
921.0;400.0;2200.0;4200.0;4900.0;14200.0;259000.0
963.0;400.0;2300.0;4300.0;5100.0;9700.0;166000.0
1005.0;400.0;2400.0;4500.0;5400.0;18500.0;241000.0
1047.0;400.0;2400.0;4500.0;5300.0;11563.999999999942;226000.0
1089.0;400.0;2500.0;4800.0;5800.0;19100.0;265000.0
1130.0;400.0;2500.0;4700.0;5600.0;12300.0;211000.0
1172.0;400.0;2600.0;5000.0;6000.0;28000.0;305000.0
1214.0;400.0;2600.0;5100.0;6200.0;19411.999999999534;287000.0
1256.0;400.0;2700.0;5200.0;6300.0;27000.0;189000.0
1298.0;400.0;2800.0;5400.0;6400.0;17700.0;225000.0
1340.0;400.0;2800.0;5400.0;6600.0;24000.0;184000.0
1382.0;400.0;2800.0;5600.0;7000.0;36000.0;466000.0
1424.0;400.0;2900.0;5700.0;6900.0;30000.0;180000.0
1465.0;400.0;3000.0;5800.0;7100.0;19619.000000000233;199000.0
1507.0;400.0;3100.0;6000.0;7300.0;27000.0;194000.0
1549.0;400.0;3200.0;6200.0;7800.0;33000.0;318000.0
1591.0;300.0;3200.0;6300.0;8000.0;54000.0;475000.0
1633.0;400.0;3300.0;6600.0;8500.0;39000.0;200000.0
1675.0;400.0;3300.0;6400.0;8200.0;72000.0;382000.0
1717.0;300.0;3400.0;6800.0;8700.0;42000.0;191000.0
1759.0;400.0;3500.0;7000.0;9400.0;67000.0;386000.0
1800.0;400.0;3500.0;7200.0;9400.0;35000.0;215000.0
1842.0;400.0;3600.0;7500.0;10700.0;53000.0;323000.0
1884.0;400.0;3600.0;7400.0;9800.0;63000.0;374000.0
1926.0;400.0;3700.0;7600.0;11300.0;71000.0;399000.0
1968.0;400.0;3700.0;7600.0;10800.0;48000.0;325000.0
2010.0;400.0;3800.0;8000.0;12100.0;62000.0;395000.0
2052.0;400.0;4000.0;8400.0;13200.0;58050.00000000291;407000.0
2093.0;400.0;4000.0;8600.0;15200.0;68000.0;331000.0
2135.0;400.0;4100.0;8600.0;12900.0;47000.0;305000.0
2177.0;400.0;4100.0;8900.0;16200.0;74000.0;547000.0
2219.0;400.0;4200.0;8900.0;14525.0;61000.0;296000.0
2261.0;300.0;4200.0;9200.0;16700.0;58000.0;308000.0
2303.0;400.0;4300.0;9100.0;15800.0;72000.0;448000.0
2345.0;300.0;4400.0;9900.0;18300.0;62000.0;243000.0
2387.0;400.0;4500.0;9700.0;21000.0;105000.0;509000.0
2428.0;300.0;4600.0;10700.0;28000.0;137000.0;568000.0
2470.0;400.0;4700.0;11300.0;27000.0;165000.0;710000.0
2512.0;300.0;4700.0;11400.0;34000.0;119000.0;429000.0
2554.0;400.0;4800.0;12200.0;32000.0;144000.0;561000.0
2596.0;300.0;4900.0;11600.0;26000.0;119000.0;620000.0
2638.0;400.0;5100.0;15000.0;37000.0;168690.00000000233;640000.0
2680.0;400.0;5300.0;19200.0;55000.0;139089.9999999965;610000.0
2722.0;300.0;5300.0;22000.0;65000.0;176000.0;850000.0
2763.0;300.0;5700.0;37000.0;74000.0;180000.0;810000.0
2805.0;400.0;5600.0;31000.0;74000.0;165000.0;750000.0
2847.0;400.0;5700.0;25000.0;47000.0;179000.0;509000.0
2889.0;400.0;5900.0;39000.0;84000.0;186000.0;1100000.0
2931.0;400.0;6100.0;41000.0;97000.0;228000.0;820000.0
2973.0;300.0;6400.0;61000.0;96000.0;214000.0;1200000.0
3015.0;400.0;6300.0;54000.0;108000.0;244000.0;1900000.0
3057.0;400.0;6600.0;50000.0;93000.0;215000.0;990000.0
3098.0;400.0;6500.0;65000.0;134000.0;244000.0;1900000.0
3140.0;400.0;6800.0;56000.0;124000.0;245000.0;1700000.0
3182.0;400.0;7000.0;80000.0;124000.0;205000.0;1200000.0
3224.0;400.0;7300.0;81000.0;156000.0;273000.0;1500000.0
3266.0;400.0;8200.0;117000.0;171000.0;333000.0;2500000.0
3308.0;400.0;7900.0;98000.0;140000.0;241000.0;2600000.0
3350.0;300.0;8700.0;141000.0;187000.0;281000.0;3600000.0
3391.0;300.0;9500.0;169000.0;273000.0;565000.0;4500000.0
3433.0;400.0;9900.0;155000.0;206000.0;295000.0;4900000.0
3475.0;400.0;11100.0;214000.0;297000.0;477000.0;4600000.0
3517.0;300.0;10300.0;164000.0;221000.0;372000.0;2400000.0
3559.0;300.0;29000.0;253000.0;320000.0;428000.0;5100000.0
3601.0;300.0;18500.0;252000.0;299000.0;410000.0;7000000.0
3643.0;300.0;31000.0;297000.0;405000.0;563000.0;5500000.0
3685.0;300.0;43000.0;308000.0;408000.0;610000.0;7200000.0
3726.0;400.0;55000.0;311000.0;404000.0;533000.0;7300000.0
3768.0;400.0;81000.0;366000.0;450000.0;595000.0;7300000.0
3810.0;300.0;118000.0;424000.0;514000.0;740000.0;6900000.0
3852.0;400.0;133000.0;396000.0;453000.0;610000.0;9300000.0
3894.0;400.0;144000.0;391000.0;464000.0;620000.0;9800000.0
3936.0;300.0;214000.0;502000.0;589000.0;870000.0;1.2E7
3978.0;400.0;247000.0;570000.0;720000.0;950000.0;1.0E7
4020.0;400.0;256000.0;630000.0;730000.0;1100000.0;9600000.0
4061.0;400.0;416000.0;950000.0;1200000.0;1600000.0;1.0E7
4103.0;400.0;610000.0;1200000.0;1400000.0;1800000.0;8000000.0
4145.0;1700.0;760000.0;2200000.0;2700000.0;5100000.0;2.7E7
4187.0;171000.0;2000000.0;3100000.0;3700000.0;4500000.0;1.1E7
4229.0;441000.0;1900000.0;3200000.0;3500000.0;4700000.0;1.2E7
4271.0;102000.0;780000.0;1300000.0;2500000.0;4700000.0;1.3E7
